sentences,labels
"['BACKGROUND', ':', 'How', 'to', 'best', 'treat', 'psychotic', 'patients', 'who', 'have', 'had', 'past', 'clozapine', '-', 'induced', 'agranulocytosis', 'or', 'granulocytopenia', 'remains', 'a', 'problem', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O']"
"['CONCLUSION', ':', 'The', 'results', 'suggest', 'that', 'olanzapine', 'may', 'be', 'useful', 'in', 'treating', 'patients', 'with', 'clozapine', '-', 'induced', 'granulocytopenia', 'without', 'the', 'risk', 'of', 'recurrence', 'of', 'hematologic', 'side', 'effects', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Prolonged', 'severe', '5-fluorouracil', '-', 'associated', 'neurotoxicity', 'in', 'a', 'patient', 'with', 'dihydropyrimidine', 'dehydrogenase', 'deficiency', '.']","['O', 'O', 'B-drug', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'describe', 'the', 'side', 'effects', 'of', '5-FU', 'in', 'a', 'colon', 'cancer', 'patient', 'who', 'suffered', 'severe', 'mucositis', ',', 'desquamating', 'dermatitis', ',', 'prolonged', 'myelosuppression', ',', 'and', 'neurologic', 'toxicity', 'that', 'required', 'admission', 'to', 'the', 'intensive', 'care', 'unit', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'describe', 'the', 'side', 'effects', 'of', '5-FU', 'in', 'a', 'colon', 'cancer', 'patient', 'who', 'suffered', 'severe', 'mucositis', ',', 'desquamating', 'dermatitis', ',', 'prolonged', 'myelosuppression', ',', 'and', 'neurologic', 'toxicity', 'that', 'required', 'admission', 'to', 'the', 'intensive', 'care', 'unit', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'describe', 'the', 'side', 'effects', 'of', '5-FU', 'in', 'a', 'colon', 'cancer', 'patient', 'who', 'suffered', 'severe', 'mucositis', ',', 'desquamating', 'dermatitis', ',', 'prolonged', 'myelosuppression', ',', 'and', 'neurologic', 'toxicity', 'that', 'required', 'admission', 'to', 'the', 'intensive', 'care', 'unit', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'case', 'suggests', 'that', 'BH-AC', ',', 'a', 'derivative', 'of', 'cytosine', 'arabinoside', '(', '1-beta-D-arabinofuranosylcytosine', ')', 'could', 'be', 'a', 'cause', 'of', 'reversible', 'encephalopathy', 'syndrome', '.']","['O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O']"
"['We', 'report', 'a', 'case', 'of', 'reversible', 'encephalopathy', 'syndrome', 'in', 'a', '16-year-old', 'girl', 'with', 'acute', 'myelogenous', 'leukemia', '(', 'AML', '),', 'who', 'is', 'undergoing', 'during', 'consolidation', 'chemotherapy', 'composed', 'of', 'BH-AC', '(', 'N4-behenoyl-1-beta-D-arabinofuranosyl', 'cytosine', ')', 'and', 'idarubicin', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'report', 'a', 'case', 'of', 'reversible', 'encephalopathy', 'syndrome', 'in', 'a', '16-year-old', 'girl', 'with', 'acute', 'myelogenous', 'leukemia', '(', 'AML', '),', 'who', 'is', 'undergoing', 'during', 'consolidation', 'chemotherapy', 'composed', 'of', 'BH-AC', '(', 'N4-behenoyl-1-beta-D-arabinofuranosyl', 'cytosine', ')', 'and', 'idarubicin', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O']"
"['In', 'one', 'case', ',', 'the', 'readministration', 'of', 'riluzole', 'was', 'followed', 'by', 'the', 'relapse', 'of', 'hepatitis', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O']"
"['We', 'report', 'the', 'cases', 'of', 'two', 'patients', 'who', 'developed', 'acute', 'hepatitis', 'after', 'taking', 'riluzole', 'at', 'the', 'recommended', 'dose', '(', '100', 'mg', 'daily', ')', 'for', '7', 'and', '4', 'weeks', ',', 'respectively', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Lupus-like', 'syndrome', 'caused', 'by', '5-aminosalicylic', 'acid', 'in', 'patients', 'with', 'inflammatory', 'bowel', 'disease', '.']","['B-effect', 'I-effect', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Although', 'the', 'two', 'local', 'anesthetics', 'usually', 'do', 'not', 'cause', 'methemoglobinemia', ',', 'we', 'suspect', 'that', 'the', 'displacement', 'of', 'lidocaine', 'from', 'protein', 'binding', 'by', 'bupivacaine', ',', 'in', 'combination', 'with', 'metabolic', 'acidosis', 'and', 'treatment', 'with', 'other', 'oxidants', ',', 'was', 'the', 'reason', 'for', 'the', 'development', 'of', 'methemoglobinemia', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O']"
"['Methemoglobinemia', 'after', 'axillary', 'block', 'with', 'bupivacaine', 'and', 'additional', 'injection', 'of', 'lidocaine', 'in', 'the', 'operative', 'field', '.']","['B-effect', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Methemoglobinemia', 'after', 'axillary', 'block', 'with', 'bupivacaine', 'and', 'additional', 'injection', 'of', 'lidocaine', 'in', 'the', 'operative', 'field', '.']","['B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O']"
"['We', 'report', 'a', 'patient', 'with', 'chronic', 'renal', 'failure', 'and', 'ischemic', 'heart', 'disease', 'who', 'developed', 'clinically', 'significant', 'methemoglobinemia', 'after', 'an', 'axillary', 'block', 'with', 'bupivacaine', 'and', 'additional', 'injection', 'of', 'lidocaine', 'in', 'the', 'operative', 'field', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'report', 'a', 'patient', 'with', 'chronic', 'renal', 'failure', 'and', 'ischemic', 'heart', 'disease', 'who', 'developed', 'clinically', 'significant', 'methemoglobinemia', 'after', 'an', 'axillary', 'block', 'with', 'bupivacaine', 'and', 'additional', 'injection', 'of', 'lidocaine', 'in', 'the', 'operative', 'field', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O']"
"['Detection', 'of', 'activated', 'eosinophils', 'in', 'nasal', 'polyps', 'of', 'an', 'aspirin', '-', 'induced', 'asthma', 'patient', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'B-effect', 'O', 'O']"
"['An', 'episode', 'of', 'subacute', 'encephalopathy', 'after', 'the', 'infusion', 'of', 'a', 'moderate', 'dose', 'of', 'methotrexate', '(', '1500', 'mg/m2', ')', '(', 'MTX', ')', 'is', 'reported', 'in', 'a', 'young', 'adult', 'with', 'metastastic', 'gastric', 'cancer', '.']","['O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'believe', 'that', 'this', 'represents', 'an', 'unusual', 'case', 'of', 'moderate-dose', 'MTX', '-', 'induced', 'neurotoxicity', 'in', 'a', 'patient', 'with', 'gastric', 'cancer', ',', 'which', 'has', 'not', 'previously', 'been', 'reported', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'describe', 'a', 'life', 'threatening', 'side', 'effect', 'of', 'acute', 'epoprostenol', 'infusion', '(', 'pulmonary', 'edema', ')', 'in', 'a', 'patient', 'with', 'pulmonary', 'hypertension', 'associated', 'with', 'limited', 'scleroderma', 'and', 'discuss', 'its', 'management', 'and', 'potential', 'etiology', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', '14-year-old', 'girl', 'with', 'newly', 'diagnosed', 'SLE', 'developed', 'a', 'pruritic', 'bullous', 'eruption', 'while', 'on', 'prednisone', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'I-effect', 'O', 'O', 'B-drug', 'O']"
"['Hydroxyurea', '-', 'induced', 'acute', 'interstitial', 'pneumonitis', 'in', 'a', 'patient', 'with', 'essential', 'thrombocythemia', '.']","['B-drug', 'O', 'O', 'B-effect', 'I-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'clinical', 'course', 'suggests', 'that', 'the', 'interstitial', 'pneumonitis', 'was', 'induced', 'by', 'hydroxyurea', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'B-drug', 'O']"
"['This', 'is', 'the', 'first', 'case', 'of', 'hydroxyurea', '-', 'induced', 'acute', 'interstitial', 'pneumonitis', 'reported', 'in', 'the', 'literature', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'B-effect', 'I-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O']"
"['Allergic', 'and', 'irritant', 'contact', 'dermatitis', 'to', 'calcipotriol', '.']","['O', 'O', 'B-effect', 'I-effect', 'I-effect', 'O', 'B-drug', 'O']"
"['Calcipotriol', '(', 'Daivonex', 'R', ';']","['B-drug', 'O', 'O', 'O', 'O']"
"['Leo', 'Pharmaceuticals', ',', 'Zurich', ',', 'Switzerland', ')', 'may', 'cause', 'irritation', 'of', 'the', 'skin', ',', 'whereas', 'allergic', 'reactions', 'are', 'less', 'common', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O']"
"['Calcipotriol', '(', 'Daivonex', 'R', ';']","['B-drug', 'O', 'O', 'O', 'O']"
"['Leo', 'Pharmaceuticals', ',', 'Zurich', ',', 'Switzerland', ')', 'may', 'cause', 'irritation', 'of', 'the', 'skin', ',', 'whereas', 'allergic', 'reactions', 'are', 'less', 'common', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'I-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'present', 'observation', 'suggests', ',', 'that', 'a', 'batch', 'of', 'different', 'testing', 'doses', ',', 'including', 'lower', 'testing', 'doses', 'may', 'help', 'to', 'differentiate', 'between', 'an', 'allergic', 'type', 'of', 'contact', 'dermatitis', 'and', 'an', 'irritant', 'type', 'of', 'reaction', 'after', 'treatment', 'with', 'calcipotriol', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'I-effect', 'I-effect', 'O', 'O', 'O', 'B-drug', 'O']"
"['Myotonia', 'associated', 'with', 'sarcoidosis', ':', 'marked', 'exacerbation', 'with', 'pravastatin', '.']","['B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O']"
"['Pravastatin', 'is', 'associated', 'with', 'myotonia', 'in', 'animals', '.']","['B-drug', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O']"
"['This', 'case', 'suggests', 'that', 'sarcoidosis', 'and', 'pravastatin', ',', 'two', 'entities', 'not', 'frequently', 'associated', 'with', 'myotonia', ',', 'may', 'interact', 'in', 'a', 'synergistic', 'manner', 'to', 'produce', 'severe', 'clinical', 'myotonia', 'in', 'humans', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O']"
"['Hypersensitivity', 'to', 'aspirin', 'can', 'be', 'manifested', 'as', 'acute', 'asthma', ',', 'urticaria', 'and/or', 'angioedema', ',', 'or', 'a', 'systemic', 'anaphylactoid', 'reaction', '.']","['O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Hypersensitivity', 'to', 'aspirin', 'can', 'be', 'manifested', 'as', 'acute', 'asthma', ',', 'urticaria', 'and/or', 'angioedema', ',', 'or', 'a', 'systemic', 'anaphylactoid', 'reaction', '.']","['O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'I-effect', 'O']"
"['Hypersensitivity', 'to', 'aspirin', 'can', 'be', 'manifested', 'as', 'acute', 'asthma', ',', 'urticaria', 'and/or', 'angioedema', ',', 'or', 'a', 'systemic', 'anaphylactoid', 'reaction', '.']","['O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['CONCLUSION', ':', 'Fixed', 'drug', 'eruption', 'is', 'associated', 'with', 'many', 'drugs', 'but', 'this', 'is', 'the', 'first', 'such', 'report', 'with', 'omeprazole', '.']","['O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O']"
"['Fixed', 'drug', 'eruption', 'in', 'hands', 'caused', 'by', 'omeprazole', '.']","['O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'B-drug', 'O']"
"['The', 'objective', 'of', 'this', 'report', 'is', 'to', 'describe', 'a', 'case', 'of', 'fixed', 'drug', 'eruption', 'that', 'occurred', 'during', 'omeprazole', 'treatment', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'B-drug', 'O', 'O']"
"['A', '26-year-old', 'Japanese', 'man', ',', 'who', 'had', 'been', 'receiving', 'medical', 'attention', 'for', 'ulcerative', 'colitis', 'for', 'one', 'year', ',', 'presented', 'with', 'diffuse', 'erythema', 'and', 'pustules', 'on', 'his', 'face', 'and', 'trunk', ',', 'malaise', ',', 'and', 'fever', 'up', 'to', '39', 'degrees', 'C', 'one', 'day', 'after', 'the', 'administration', 'of', 'salazosulfapyridine', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O']"
"['A', '26-year-old', 'Japanese', 'man', ',', 'who', 'had', 'been', 'receiving', 'medical', 'attention', 'for', 'ulcerative', 'colitis', 'for', 'one', 'year', ',', 'presented', 'with', 'diffuse', 'erythema', 'and', 'pustules', 'on', 'his', 'face', 'and', 'trunk', ',', 'malaise', ',', 'and', 'fever', 'up', 'to', '39', 'degrees', 'C', 'one', 'day', 'after', 'the', 'administration', 'of', 'salazosulfapyridine', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'I-effect', 'I-effect', 'I-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O']"
"['A', '26-year-old', 'Japanese', 'man', ',', 'who', 'had', 'been', 'receiving', 'medical', 'attention', 'for', 'ulcerative', 'colitis', 'for', 'one', 'year', ',', 'presented', 'with', 'diffuse', 'erythema', 'and', 'pustules', 'on', 'his', 'face', 'and', 'trunk', ',', 'malaise', ',', 'and', 'fever', 'up', 'to', '39', 'degrees', 'C', 'one', 'day', 'after', 'the', 'administration', 'of', 'salazosulfapyridine', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O']"
"['A', '26-year-old', 'Japanese', 'man', ',', 'who', 'had', 'been', 'receiving', 'medical', 'attention', 'for', 'ulcerative', 'colitis', 'for', 'one', 'year', ',', 'presented', 'with', 'diffuse', 'erythema', 'and', 'pustules', 'on', 'his', 'face', 'and', 'trunk', ',', 'malaise', ',', 'and', 'fever', 'up', 'to', '39', 'degrees', 'C', 'one', 'day', 'after', 'the', 'administration', 'of', 'salazosulfapyridine', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O']"
"['Acute', 'generalized', 'exanthematous', 'pustulosis', 'induced', 'by', 'salazosulfapyridine', 'in', 'a', 'patient', 'with', 'ulcerative', 'colitis', '.']","['B-effect', 'I-effect', 'I-effect', 'I-effect', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'report', 'a', 'case', 'of', 'acute', 'generalized', 'exanthematous', 'pustulosis', '(', 'AGEP', ')', 'induced', 'by', 'salazosulfapyridine', 'in', 'a', 'patient', 'with', 'ulcerative', 'colitis', '.']","['O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'I-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['CASE', 'SUMMARY', ':', 'A', '39-year-old', 'white', 'Jewish', 'schizophrenic', 'man', 'treated', 'with', 'olanzapine', 'developed', 'an', 'elevated', 'serum', 'CK', 'concentration', 'with', 'a', 'peak', 'concentration', 'of', '4000', 'IU/L', '(', 'normal', '<', '230', ').']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'B-effect', 'I-effect', 'I-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['DISCUSSION', ':', 'Olanzapine', ',', 'like', 'other', 'atypical', 'antipsychotic', 'drugs', ',', 'may', 'cause', 'muscle', 'injury', 'with', 'concomitant', 'elevations', 'of', 'serum', 'CK', 'of', 'muscle', 'origin', '.']","['O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'I-effect', 'I-effect', 'I-effect', 'I-effect', 'I-effect', 'I-effect', 'O', 'O', 'O', 'O']"
"['Marked', 'elevation', 'of', 'serum', 'creatine', 'kinase', 'associated', 'with', 'olanzapine', 'therapy', '.']","['O', 'B-effect', 'I-effect', 'I-effect', 'I-effect', 'I-effect', 'O', 'O', 'B-drug', 'O', 'O']"
"['OBJECTIVE', ':', 'To', 'report', 'a', 'case', 'of', 'marked', 'elevation', 'of', 'serum', 'creatine', 'kinase', '(', 'CK', ')', 'associated', 'with', 'olanzapine', 'therapy', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-effect', 'I-effect', 'I-effect', 'I-effect', 'I-effect', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O']"
"['Diclofenac', '-', 'associated', 'hepatitis', '.']","['B-drug', 'O', 'O', 'B-effect', 'O']"
